#ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	7	287	ExDog1_375764	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.999015707576666	57.3	281	362	3.05e-127	1
DNA-BINDING_TRANSCRIPTIONAL_REGULATOR_GADX	21	274	ExDog1_310002	unclassified	gi:447113791:ref:WP_001191047.1:|FEATURES|DNA-binding_transcriptional_regulator_gadX|unclassified|DNA-binding_transcriptional_regulator_gadX	0.999970328370581	100	254	496	4.45e-181	1
SDIA	1	217	ExDog1_58933	unclassified	gi:291427610:gb:EFF00637.1:|FEATURES|sdiA|unclassified|sdiA	0.9995523013626914	100	217	430	7.74e-156	1
ACRB	1	1030	ExDog1_313031	multidrug	gi:491078681:ref:WP_004940301.1:|FEATURES|acrB|multidrug|acrB	0.8421468512029535	60.8	1030	1187	0.0	1
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	272	ExDog1_190493	aminoglycoside	YP_002401190|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999832998910557	56.1	262	263	1.02e-87	1
KDPE	4	225	ExDog1_152386	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9881944359840144	53.8	225	240	7.14e-81	1
VANU	1	70	ExDog1_129183	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9954988631362423	60.0	70	84.7	3.90e-24	1
TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR	1	232	ExDog1_37245	unclassified	CP000034.1.gene3834.p01|FEATURES|transcriptional_regulatory_protein_CpxR_cpxR|unclassified|transcriptional_regulatory_protein_CpxR_cpxR	0.9841434636732822	100	232	462	1.02e-168	1
CPXA	1	457	ExDog1_37246	aminoglycoside:aminocoumarin	NP_312864.1|FEATURES|cpxA|aminoglycoside:aminocoumarin|cpxA	0.9901894119690979	100	457	887	0.0	1
TETR	2	200	ExDog1_329403	tetracycline	CAD09823.1|FEATURES|tetR|tetracycline|tetR	0.9976163052733047	51.2	201	197	1.58e-64	1
TETW	71	634	ExDog1_323855	tetracycline	AJ222769.gene.p01|FEATURES|tetW|tetracycline|tetW	0.9999970880354189	99.8	564	1098	0.0	1
VANR	5	235	ExDog1_126879	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999741814916026	55.6	234	256	4.87e-87	1
UGD	1	388	ExDog1_44064	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8948346607432162	58.5	412	474	1.15e-166	1
ACRA	13	409	ExDog1_81787	multidrug	YP_002269113|FEATURES|acrA|multidrug|acrA	0.9999982291457028	100	397	746	3.75e-275	1
BCRA	5	308	ExDog1_19270	bacitracin	gi:445996710:ref:WP_000074565.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997021016912607	52.6	304	301	2.21e-102	1
UGD	1	388	ExDog1_100074	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8989011283279179	60.2	412	488	4.09e-173	1
EMRK	1	387	ExDog1_312779	multidrug	gi:585367575:ref:WP_024249154.1:|FEATURES|emrK|multidrug|emrK	0.9999438086519519	99.5	387	741	1.49e-273	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	80	ExDog1_346168	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8170340890129424	57.5	73	78.2	4.49e-21	1
BACA	7	291	ExDog1_272450	bacitracin	YP_584847|FEATURES|bacA|bacitracin|bacA	0.9836507785693741	50.5	285	286	1.63e-97	1
KDPE	4	225	ExDog1_3013	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9880432041275155	53.8	225	239	2.04e-80	1
UGD	3	388	ExDog1_226951	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8983415167361747	60.0	405	486	3.09e-171	1
MEPA	7	404	ExDog1_340683	multidrug	gi:313638554:gb:EFS03703.1:|FEATURES|mepA|multidrug|mepA	0.9957121673795416	50.3	398	375	3.32e-128	1
VANR	5	235	ExDog1_203790	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.999975662834501	54.3	234	248	9.71e-84	1
VANR	3	235	ExDog1_197630	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999891412069793	59.2	233	280	1.09e-96	1
ROSA	16	402	ExDog1_71743	fosmidomycin	YP_001401993|FEATURES|rosA|fosmidomycin|rosA	0.9985580997861346	52.2	389	403	1.44e-139	1
VANU	1	70	ExDog1_325981	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.98925444565366	51.4	70	72.0	7.40e-19	1
ACRB	1	1034	ExDog1_66026	multidrug	CP000647.1.gene443.p01|FEATURES|acrB|multidrug|acrB	0.8936105320463524	60.1	1060	1195	0.0	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	2	226	ExDog1_368703	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9983837696284118	53.3	225	245	6.05e-83	1
RPOB2	114	1145	ExDog1_231870	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9946692964515208	58.3	1117	1234	0.0	1
VANU	1	67	ExDog1_23439	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9922894847035462	50.7	67	76.6	6.68e-21	1
VANU	1	67	ExDog1_340903	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9895692664215401	52.2	67	72.4	2.81e-19	1
ACRA	28	403	ExDog1_81747	multidrug	YP_001879173|FEATURES|acrA|multidrug|acrA	0.9993446637616666	51.8	380	326	1.15e-109	1
MDTE	1	385	ExDog1_193922	multidrug	ACB17952|FEATURES|mdtE|multidrug|mdtE	0.9999799535446582	100	385	722	2.64e-266	1
VANU	1	62	ExDog1_310188	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9919007792724109	59.7	62	75.9	4.33e-20	1
RPOB2	20	1122	ExDog1_108608	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9945949996682486	53.8	1240	1230	0.0	1
PATA	1	459	ExDog1_224771	fluoroquinolone	NP_417544.5|FEATURES|patA|fluoroquinolone|patA	0.9618548862027702	99.6	459	902	0.0	1
UGD	18	388	ExDog1_36638	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8808108416605626	53.5	424	433	1.78e-151	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_92505	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9991025865596053	56.4	291	366	9.16e-129	1
VANU	1	63	ExDog1_197046	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9937695173423869	61.9	63	79.7	4.74e-22	1
UGD	1	388	ExDog1_276736	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8957348911183318	59.8	410	477	7.20e-169	1
EFRA	2	482	ExDog1_139985	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.8880757218728066	51.8	483	469	3.92e-162	1
UGD	8	388	ExDog1_333289	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.893613171798529	60.5	403	470	1.99e-166	1
TOLC	12	506	ExDog1_348641	multidrug	gi:81246703:gb:ABB67411.1:|FEATURES|TolC|multidrug|TolC	0.9905209419196526	99.8	495	919	0.0	1
CLASS_A	13	261	ExDog1_178274	beta-lactam	AAA21532|FEATURES|class_A|beta-lactam|class_A	0.996040252155038	55.0	249	285	4.11e-97	1
UGD	1	388	ExDog1_43976	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8980591767263313	60.7	410	485	4.39e-172	1
TETG	6	391	ExDog1_200508	tetracycline	AF133140.gene.p01|FEATURES|tetG|tetracycline|tetG	0.999999414328834	96.1	386	709	3.67e-261	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	47	218	ExDog1_302368	unclassified	gi:446114283:ref:WP_000192138.1:|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9955923380166738	50.0	180	174	2.77e-55	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_45616	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994488798412708	61.7	287	390	3.86e-138	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	225	ExDog1_294684	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9860067709884569	52.0	227	211	1.56e-69	1
VANR	5	235	ExDog10_102599	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999755290027901	55.6	234	256	4.87e-87	1
EFRA	2	434	ExDog10_160324	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.9234159523275713	50.9	436	417	1.58e-142	1
LSA	1	492	ExDog10_128198	MLS	gi:1032346815:ref:WP_064200323.1:|FEATURES|lsa|MLS|lsa	0.9972688269182243	63.6	492	639	7.59e-230	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	225	ExDog10_210246	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9912466846232718	52.4	227	210	4.45e-69	1
BCRA	5	305	ExDog10_293542	bacitracin	gi:445996708:ref:WP_000074563.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997221781255946	53.5	301	300	6.83e-102	1
VANR	14	235	ExDog10_162437	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9998428434339206	52.7	222	236	1.58e-79	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog10_210454	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995257538355637	61.9	286	396	1.42e-140	1
MEL	1	485	ExDog10_151950	MLS	WP_000420313.1|FEATURES|mel|MLS|mel	0.9815207452612124	88.2	485	842	4.59e-310	1
UGD	3	388	ExDog10_115067	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8988825711139411	56.3	437	468	7.12e-165	1
UGD	1	388	ExDog10_172498	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9014298065133771	59.8	410	477	7.20e-169	1
VANRI	5	232	ExDog10_282953	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999701343603397	55.6	232	269	3.39e-92	1
LNUD	1	164	ExDog10_218083	MLS	ABR14060.1|FEATURES|lnuD|MLS|lnuD	0.9965611903048202	60.4	164	211	1.43e-71	1
KDPE	4	222	ExDog10_292266	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9881944359840144	56.2	219	248	5.89e-84	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_95092	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994362235514563	60.6	287	387	6.36e-137	1
EFRB	36	362	ExDog10_291908	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8337733391623159	51.7	327	321	2.18e-105	1
RPOB2	24	1150	ExDog10_305888	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9950863553787334	55.8	1222	1267	0.0	1
LNUC	1	164	ExDog10_237877	MLS	AAY32951.1|FEATURES|lnuC|MLS|lnuC	0.9957885694922045	59.8	164	213	5.21e-72	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_300053	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995346954068948	61.3	287	397	3.50e-141	1
ACRB	41	1034	ExDog10_285943	multidrug	gi:495735716:ref:WP_008460295.1:|FEATURES|acrB|multidrug|acrB	0.8480229529471692	57.3	1021	1097	0.0	1
VANR	1	234	ExDog10_232699	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999946901094848	63.2	234	307	2.57e-107	1
APH(2'')-II	1	299	ExDog10_86170	aminoglycoside	AF207840.gene.p01|FEATURES|aph(2'')-II|aminoglycoside|aph(2'')-II	0.9998024652766591	100	299	600	6.83e-221	1
AADE	3	280	ExDog10_88863	aminoglycoside	FN594949.1.gene25.p01|FEATURES|aadE|aminoglycoside|aadE	0.9999998162119792	67.6	278	405	4.90e-144	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog10_168932	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993403093254699	59.8	286	379	7.00e-134	1
RPOB2	20	1135	ExDog10_120919	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9937367240804362	53.1	1259	1197	0.0	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_105395	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9990966268605945	55.7	291	364	7.48e-128	1
TET(40)	1	406	ExDog10_188169	tetracycline	AFK31666.1|FEATURES|tet(40)|tetracycline|tet(40)	0.9994233597032094	100	406	756	5.25e-279	1
BCRA	7	309	ExDog10_12896	bacitracin	gi:445996726:ref:WP_000074581.1:|FEATURES|bcrA|bacitracin|bcrA	0.9998765115898111	55.1	303	322	3.18e-110	1
UGD	1	388	ExDog10_252671	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9045894695807871	61.6	409	489	1.60e-173	1
UGD	82	388	ExDog10_183456	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8810917663498989	64.1	329	416	3.24e-146	1
VANRI	1	232	ExDog10_57553	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999922028270886	65.5	232	322	5.43e-113	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_202500	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995073187324859	62.0	287	394	5.77e-140	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_211670	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995604223524364	62.0	287	400	4.28e-142	1
VANU	1	63	ExDog10_245251	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9957179176226155	65.1	63	81.6	7.00e-23	1
ROSA	16	402	ExDog10_132779	fosmidomycin	YP_001605796|FEATURES|rosA|fosmidomycin|rosA	0.9992746442745472	55.9	388	422	2.66e-147	1
VANR	10	235	ExDog10_91790	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9996618819808469	54.6	227	242	9.75e-82	1
OPRM	55	465	ExDog10_309296	multidrug	NC_008702.1.4606278.p01|FEATURES|oprM|multidrug|oprM	0.8385938803199394	51.8	411	385	1.17e-131	1
VANU	1	67	ExDog10_274585	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9931352020776228	53.7	67	74.7	3.42e-20	1
VANU	1	70	ExDog10_46503	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9941618705556623	55.7	70	77.0	4.90e-21	1
UGD	1	388	ExDog10_239889	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9005951149791798	58.5	410	474	1.57e-166	1
VANR	4	235	ExDog10_55910	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999854935385476	54.3	232	255	1.39e-86	1
EFRB	22	362	ExDog10_27967	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8370098143980176	51.2	342	324	7.20e-107	1
VANR	1	222	ExDog10_126965	glycopeptide	gi:1028850587:ref:WP_064019550.1:|FEATURES|vanR|glycopeptide|vanR	0.9999935537471146	70.3	222	330	3.33e-115	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	80	ExDog10_95198	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8011135030037877	53.4	73	72.4	3.15e-17	1
VANR	5	235	ExDog10_118540	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999577716189949	56.3	231	266	8.41e-91	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog10_41973	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993403093254699	59.5	289	379	1.46e-133	1
VANS	22	133	ExDog10_160181	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9852864112498217	67.0	112	170	1.79e-56	1
RPOB2	24	1122	ExDog10_182470	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9945823887008206	55.3	1200	1238	0.0	1
BACA	1	274	ExDog10_82871	bacitracin	ZP_04577926|FEATURES|bacA|bacitracin|bacA	0.9941039685886347	55.5	283	300	5.93e-103	1
VANU	1	71	ExDog10_219338	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9913824044817232	50.7	71	71.6	6.12e-19	1
RPOB2	114	1123	ExDog10_189140	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9929199465159574	54.7	1111	1164	0.0	1
KDPE	4	223	ExDog10_61662	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9871155772323941	55.4	222	241	1.70e-81	1
UGD	1	388	ExDog10_324566	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8977077038182628	56.0	434	464	2.98e-163	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_38544	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995604223524364	62.0	287	400	2.12e-142	1
TETP	1	420	ExDog10_192122	tetracycline	BAB71966|FEATURES|tetP|tetracycline|tetP	0.9999525184217971	99.5	420	785	5.81e-290	1
LNUC	1	154	ExDog10_33193	MLS	AAY32951.1|FEATURES|lnuC|MLS|lnuC	0.9994535330280644	98.1	154	320	1.35e-114	1
VANR	1	230	ExDog10_320983	glycopeptide	gi:447203848:ref:WP_001281104.1:|FEATURES|vanR|glycopeptide|vanR	0.9999978914684925	71.3	230	353	1.27e-125	1
VANU	1	67	ExDog10_94881	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9935198997138968	53.7	67	75.5	2.62e-20	1
RPOB2	24	1135	ExDog10_53200	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9941691530941346	53.3	1251	1217	0.0	1
VANU	3	63	ExDog10_264516	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9857182302134476	52.5	61	65.1	4.53e-14	1
RPOB2	20	1135	ExDog10_61062	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9936213178564978	52.4	1259	1192	0.0	1
EFRB	33	362	ExDog10_223036	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8541549144273222	51.5	330	341	4.54e-113	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_311877	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995434368202458	61.7	287	398	2.47e-141	1
LNUA	2	158	ExDog10_46751	MLS	YP_758631|FEATURES|lnuA|MLS|lnuA	0.9999999070430741	53.5	157	184	1.40e-60	1
BACA	7	291	ExDog10_295632	bacitracin	YP_584847|FEATURES|bacA|bacitracin|bacA	0.9845310017968197	50.5	285	286	1.63e-97	1
RPOB2	28	1122	ExDog10_939	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9952281449404174	60.3	1097	1276	0.0	1
VANR	5	235	ExDog10_59782	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999489911992486	54.5	231	253	7.98e-86	1
VANS	13	130	ExDog10_320177	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9894893634728752	70.3	118	181	1.69e-60	1
UGD	3	388	ExDog10_173899	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8988825711139411	57.3	433	468	3.26e-164	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	3	285	ExDog10_282067	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9991927446541881	60.0	285	369	5.16e-130	1
EFRB	36	362	ExDog10_103987	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8463036491950612	51.4	327	333	2.42e-110	1
UGD	5	388	ExDog10_159205	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8955755783010617	57.7	414	457	6.40e-161	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog10_16269	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9989613953642917	54.1	305	358	3.99e-125	1
UGD	1	388	ExDog10_281526	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8977077038182628	56.9	434	464	2.10e-163	1
VANU	1	67	ExDog10_230582	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9900430074520434	50.7	67	69.7	1.16e-17	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	117	ExDog10_290513	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9584149954881032	57.3	117	135	4.60e-41	1
LSA	1	492	ExDog10_303162	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.9994717959923103	63.6	492	636	9.93e-229	1
ABES	2	105	ExDog10_264836	multidrug	NC_010410.6003348.p01|FEATURES|abeS|multidrug|abeS	0.9768033899786804	55.8	104	109	8.80e-33	1
RPOB2	24	1162	ExDog10_186444	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9942306173904416	52.7	1273	1220	0.0	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	118	ExDog10_254721	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9756424389515165	53.4	118	132	1.19e-39	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	126	ExDog10_227387	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.959600952811672	55.6	126	141	1.79e-43	1
UGD	1	388	ExDog10_257397	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9030456821399256	60.5	410	483	2.93e-171	1
UGD	1	388	ExDog10_49077	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9048412415246927	61.0	410	490	4.65e-174	1
AADE	1	288	ExDog10_208497	aminoglycoside	ZP_04556181|FEATURES|aadE|aminoglycoside|aadE	0.9999996504144767	100	288	597	4.81e-220	1
MEFA	32	405	ExDog10_3043	MLS	ACD88490|FEATURES|mefA|MLS|mefA	0.9997831343796287	58.0	374	426	4.31e-149	1
CDEA	7	441	ExDog10_138392	multidrug	CAE00499.1|FEATURES|cdeA|multidrug|cdeA	0.9944117506019486	50.7	436	405	2.07e-139	1
VATB	10	208	ExDog10_57360	MLS	U19459.gene.p01|FEATURES|vatB|MLS|vatB	0.9999999873845288	50.5	202	204	2.46e-67	1
EFRB	22	362	ExDog10_75511	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8493043945585727	52.0	342	336	4.26e-111	1
UGD	1	388	ExDog10_247332	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9005951149791798	58.5	412	474	1.15e-166	1
RPOB2	20	1122	ExDog10_131560	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9944877516544736	54.1	1238	1233	0.0	1
VANR	3	235	ExDog10_122059	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999903737366536	59.2	233	280	1.09e-96	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog10_263632	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994679871268509	61.5	286	390	1.92e-138	1
UGD	1	388	ExDog10_158250	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.894316308082101	53.5	441	453	7.30e-159	1
UGD	67	388	ExDog10_288100	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8857530085857319	62.7	346	428	1.36e-150	1
LSA	1	490	ExDog10_249698	MLS	gi:1032346815:ref:WP_064200323.1:|FEATURES|lsa|MLS|lsa	0.9209935201339544	70.2	490	701	1.79e-254	1
RPOB2	28	1120	ExDog10_80165	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9945448449245557	56.7	1136	1236	0.0	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	3	287	ExDog10_273572	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.998678724864261	56.4	291	348	1.17e-121	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	80	ExDog10_244301	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8219687703229694	51.9	77	75.1	1.22e-19	1
TET32	1	638	ExDog10_200477	tetracycline	ABV82120|FEATURES|tet32|tetracycline|tet32	0.9999967337427395	80.4	638	1033	0.0	1
UGD	1	388	ExDog10_216611	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9033068847790403	61.2	410	484	1.11e-171	1
BACA	9	271	ExDog10_60690	bacitracin	Q5P6K4|FEATURES|bacA|bacitracin|bacA	0.9914162267573474	55.8	267	294	8.07e-101	1
